outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3
29.0,31.0,105.0,600.0,29.0,29.0,29.0,31.0,32.0,31.0,93.0,75.0,39.0,466.0,285.0,106.0
29.0,31.0,93.0,466.0,29.0,29.0,26.0,32.0,31.0,42.0,75.0,39.0,7.0,285.0,106.0,13.0
29.0,32.0,75.0,285.0,29.0,26.0,25.6,31.0,42.0,45.0,39.0,7.0,0.0,106.0,13.0,0.0
29.0,31.0,39.0,106.0,26.0,25.6,24.0,42.0,45.0,44.0,7.0,0.0,0.0,13.0,0.0,0.0
26.0,42.0,7.0,13.0,25.6,24.0,24.0,45.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
25.6,45.0,0.0,0.0,24.0,24.0,22.9,44.0,44.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,44.0,0.0,0.0,24.0,22.9,23.0,44.0,48.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,44.0,0.0,0.0,22.9,23.0,23.0,48.0,47.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
22.9,48.0,0.0,0.0,23.0,23.0,22.7,47.0,44.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,47.0,0.0,0.0,23.0,22.7,22.0,44.0,42.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,44.0,0.0,0.0,22.7,22.0,22.0,42.0,46.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
22.7,42.0,0.0,0.0,22.0,22.0,22.7,46.0,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,46.0,0.0,0.0,22.0,22.7,23.0,43.0,39.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,43.0,0.0,0.0,22.7,23.0,23.0,39.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
22.7,39.0,0.0,0.0,23.0,23.0,22.0,38.0,38.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,38.0,0.0,0.0,23.0,22.0,22.0,38.0,41.0,43.0,0.0,0.0,44.0,0.0,0.0,121.0
