outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3
32.0,84.0,32.0,47.0,32.1,32.0,34.0,83.0,79.0,71.0,84.0,130.0,160.0,174.0,354.0,551.0
32.1,83.0,84.0,174.0,32.0,34.0,35.7,79.0,71.0,63.0,130.0,160.0,187.0,354.0,551.0,720.0
32.0,79.0,130.0,354.0,34.0,35.7,38.0,71.0,63.0,51.0,160.0,187.0,201.0,551.0,720.0,838.0
34.0,71.0,160.0,551.0,35.7,38.0,39.0,63.0,51.0,45.0,187.0,201.0,202.0,720.0,838.0,900.0
35.7,63.0,187.0,720.0,38.0,39.0,39.2,51.0,45.0,51.0,201.0,202.0,199.0,838.0,900.0,898.0
38.0,51.0,201.0,838.0,39.0,39.2,39.0,45.0,51.0,41.0,202.0,199.0,186.0,900.0,898.0,830.0
39.0,45.0,202.0,900.0,39.2,39.0,39.0,51.0,41.0,51.0,199.0,186.0,172.0,898.0,830.0,701.0
39.2,51.0,199.0,898.0,39.0,39.0,38.2,41.0,51.0,54.0,186.0,172.0,150.0,830.0,701.0,525.0
39.0,41.0,186.0,830.0,39.0,38.2,37.0,51.0,54.0,60.0,172.0,150.0,118.0,701.0,525.0,329.0
39.0,51.0,172.0,701.0,38.2,37.0,37.0,54.0,60.0,60.0,150.0,118.0,71.0,525.0,329.0,148.0
38.2,54.0,150.0,525.0,37.0,37.0,35.3,60.0,60.0,68.0,118.0,71.0,22.0,329.0,148.0,32.0
37.0,60.0,118.0,329.0,37.0,35.3,35.0,60.0,68.0,71.0,71.0,22.0,0.0,148.0,32.0,0.0
37.0,60.0,71.0,148.0,35.3,35.0,34.0,68.0,71.0,75.0,22.0,0.0,0.0,32.0,0.0,0.0
35.3,68.0,22.0,32.0,35.0,34.0,34.3,71.0,75.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,71.0,0.0,0.0,34.0,34.3,34.0,75.0,73.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,75.0,0.0,0.0,34.3,34.0,34.0,73.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
34.3,73.0,0.0,0.0,34.0,34.0,33.7,75.0,75.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,75.0,0.0,0.0,34.0,33.7,34.0,75.0,76.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,75.0,0.0,0.0,33.7,34.0,33.0,76.0,75.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
33.7,76.0,0.0,0.0,34.0,33.0,32.6,75.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,75.0,0.0,0.0,33.0,32.6,32.0,80.0,80.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,80.0,0.0,0.0,32.6,32.0,32.0,80.0,84.0,79.0,0.0,0.0,30.0,0.0,0.0,43.0
32.6,80.0,0.0,0.0,32.0,32.0,31.8,84.0,79.0,79.0,0.0,30.0,91.0,0.0,43.0,164.0
32.0,84.0,0.0,0.0,32.0,31.8,33.0,79.0,79.0,75.0,30.0,91.0,139.0,43.0,164.0,362.0
32.0,79.0,30.0,43.0,31.8,33.0,35.0,79.0,75.0,63.0,91.0,139.0,162.0,164.0,362.0,574.0
31.8,79.0,91.0,164.0,33.0,35.0,36.4,75.0,63.0,58.0,139.0,162.0,188.0,362.0,574.0,738.0
33.0,75.0,139.0,362.0,35.0,36.4,39.0,63.0,58.0,40.0,162.0,188.0,199.0,574.0,738.0,856.0
35.0,63.0,162.0,574.0,36.4,39.0,41.0,58.0,40.0,30.0,188.0,199.0,201.0,738.0,856.0,923.0
36.4,58.0,188.0,738.0,39.0,41.0,42.2,40.0,30.0,25.0,199.0,201.0,201.0,856.0,923.0,921.0
39.0,40.0,199.0,856.0,41.0,42.2,42.0,30.0,25.0,24.0,201.0,201.0,194.0,923.0,921.0,846.0
41.0,30.0,201.0,923.0,42.2,42.0,41.0,25.0,24.0,30.0,201.0,194.0,186.0,921.0,846.0,708.0
42.2,25.0,201.0,921.0,42.0,41.0,40.7,24.0,30.0,37.0,194.0,186.0,162.0,846.0,708.0,535.0
42.0,24.0,194.0,846.0,41.0,40.7,40.0,30.0,37.0,40.0,186.0,162.0,122.0,708.0,535.0,341.0
41.0,30.0,186.0,708.0,40.7,40.0,37.0,37.0,40.0,57.0,162.0,122.0,73.0,535.0,341.0,153.0
40.7,37.0,162.0,535.0,40.0,37.0,36.2,40.0,57.0,59.0,122.0,73.0,22.0,341.0,153.0,33.0
40.0,40.0,122.0,341.0,37.0,36.2,36.0,57.0,59.0,64.0,73.0,22.0,0.0,153.0,33.0,0.0
37.0,57.0,73.0,153.0,36.2,36.0,36.0,59.0,64.0,57.0,22.0,0.0,0.0,33.0,0.0,0.0
36.2,59.0,22.0,33.0,36.0,36.0,35.9,64.0,57.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,64.0,0.0,0.0,36.0,35.9,36.0,57.0,73.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,57.0,0.0,0.0,35.9,36.0,35.0,73.0,57.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0
35.9,73.0,0.0,0.0,36.0,35.0,34.7,57.0,76.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,57.0,0.0,0.0,35.0,34.7,34.0,76.0,60.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,76.0,0.0,0.0,34.7,34.0,34.0,60.0,63.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
34.7,60.0,0.0,0.0,34.0,34.0,33.3,63.0,83.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,63.0,0.0,0.0,34.0,33.3,33.0,83.0,85.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,83.0,0.0,0.0,33.3,33.0,33.0,85.0,86.0,86.0,0.0,0.0,31.0,0.0,0.0,49.0
33.3,85.0,0.0,0.0,33.0,33.0,34.2,86.0,86.0,82.0,0.0,31.0,86.0,0.0,49.0,182.0
33.0,86.0,0.0,0.0,33.0,34.2,36.0,86.0,82.0,75.0,31.0,86.0,131.0,49.0,182.0,374.0
33.0,86.0,31.0,49.0,34.2,36.0,36.0,82.0,75.0,47.0,86.0,131.0,162.0,182.0,374.0,571.0
34.2,82.0,86.0,182.0,36.0,36.0,37.9,75.0,47.0,48.0,131.0,162.0,182.0,374.0,571.0,738.0
36.0,75.0,131.0,374.0,36.0,37.9,40.0,47.0,48.0,43.0,162.0,182.0,193.0,571.0,738.0,856.0
36.0,47.0,162.0,571.0,37.9,40.0,38.0,48.0,43.0,44.0,182.0,193.0,198.0,738.0,856.0,912.0
37.9,48.0,182.0,738.0,40.0,38.0,37.9,43.0,44.0,47.0,193.0,198.0,196.0,856.0,912.0,903.0
40.0,43.0,193.0,856.0,38.0,37.9,39.0,44.0,47.0,51.0,198.0,196.0,188.0,912.0,903.0,830.0
38.0,44.0,198.0,912.0,37.9,39.0,39.0,47.0,51.0,54.0,196.0,188.0,174.0,903.0,830.0,701.0
37.9,47.0,196.0,903.0,39.0,39.0,39.1,51.0,54.0,57.0,188.0,174.0,151.0,830.0,701.0,528.0
39.0,51.0,188.0,830.0,39.0,39.1,38.0,54.0,57.0,57.0,174.0,151.0,119.0,701.0,528.0,331.0
39.0,54.0,174.0,701.0,39.1,38.0,38.0,57.0,57.0,48.0,151.0,119.0,72.0,528.0,331.0,147.0
39.1,57.0,151.0,528.0,38.0,38.0,36.7,57.0,48.0,57.0,119.0,72.0,22.0,331.0,147.0,32.0
38.0,57.0,119.0,331.0,38.0,36.7,36.0,48.0,57.0,67.0,72.0,22.0,0.0,147.0,32.0,0.0
38.0,48.0,72.0,147.0,36.7,36.0,36.0,57.0,67.0,67.0,22.0,0.0,0.0,32.0,0.0,0.0
36.7,57.0,22.0,32.0,36.0,36.0,34.9,67.0,67.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,67.0,0.0,0.0,36.0,34.9,35.0,67.0,75.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,67.0,0.0,0.0,34.9,35.0,34.0,75.0,71.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
34.9,75.0,0.0,0.0,35.0,34.0,33.6,71.0,80.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,71.0,0.0,0.0,34.0,33.6,34.0,80.0,78.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,80.0,0.0,0.0,33.6,34.0,33.0,78.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
33.6,78.0,0.0,0.0,34.0,33.0,33.1,80.0,80.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,80.0,0.0,0.0,33.0,33.1,33.0,80.0,76.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,80.0,0.0,0.0,33.1,33.0,32.0,76.0,75.0,79.0,0.0,0.0,31.0,0.0,0.0,49.0
